,reaction_expression
MAR07128,11.8
MAR07129,11.8
MAR07130,-1.0
MAR07131,55.6
MAR07132,40.9
MAR07133,2.0
MAR07134,17.6
MAR07135,-1.0
MAR07136,27.3
MAR07137,17.6
MAR07138,2.0
MAR07139,346.5
MAR07140,-1.0
MAR07141,2.0
MAR07620,15.7
MAR07647,-1.0
MAR08640,77.1
MAR08689,-1.0
MAR08690,-1.0
MAR03748,5.9
MAR03753,1.0
MAR03755,48.8
MAR03759,216.7
MAR03763,37.1
MAR03773,12.7
MAR03775,12.7
MAR03780,5.9
MAR03785,1.0
MAR03790,2.9
MAR03792,3.9
MAR03796,44.8
MAR03823,109.3
MAR06416,5.9
MAR03986,-1.0
MAR03988,64.4
MAR04124,24.4
MAR04158,26.3
MAR04159,3.9
MAR04299,27.299999999999997
MAR04300,10.7
MAR04494,43.9
MAR04524,13.7
MAR04525,4.9
MAR04526,4.9
MAR04527,2.0
MAR04528,4.9
MAR04529,28.3
MAR04530,-1.0
MAR04531,-1.0
MAR04532,25.4
MAR04533,-1.0
MAR04534,-1.0
MAR04536,25.4
MAR04628,5.9
MAR04629,3.9
MAR04631,17.6
MAR07696,-1.0
MAR07697,2.0
MAR07698,3.9
MAR08366,-1.0
MAR08367,-1.0
MAR08368,-1.0
MAR08371,28.3
MAR08372,-1.0
MAR08373,2.0
MAR08375,4.9
MAR08376,-1.0
MAR08377,25.4
MAR08672,24.4
MAR08674,-1.0
MAR08675,-1.0
MAR05130,19.5
MAR05131,17.6
MAR05132,21.5
MAR05133,40.0
MAR05134,51.7
MAR05135,15.6
MAR05136,45.9
MAR05137,78.1
MAR05138,31.2
MAR05139,30.2
MAR05140,35.1
MAR05141,105.4
MAR05142,56.6
MAR05143,13.7
MAR05144,10.7
MAR05145,16.6
MAR05146,78.1
MAR05147,45.9
MAR05148,11.7
MAR05149,34.2
MAR05150,14.6
MAR07171,39.0
MAR07172,-1.0
MAR07174,-1.0
MAR07175,-1.0
MAR07180,2.0
MAR07181,31.2
MAR07183,-1.0
MAR07197,-1.0
MAR07436,69.5
MAR07438,36.1
MAR07440,2.0
MAR08254,-1.0
MAR08255,-1.0
MAR08256,-1.0
MAR08257,1.0
MAR08258,-1.0
MAR08260,-1.0
MAR08261,-1.0
MAR01532,66.4
MAR07254,14.6
MAR07256,2.9
MAR07258,-1.0
MAR07259,-1.0
MAR07260,-1.0
MAR07261,1.0
MAR07263,3.9
MAR07264,4.9
MAR07265,21.5
MAR07266,1.0
MAR07267,4.9
MAR07268,4.9
MAR07269,6.8
MAR07270,6.8
MAR07271,18.6
MAR07274,3.9
MAR07275,11.8
MAR07276,12.700000000000001
MAR07277,2.0
MAR07278,12.7
MAR07279,7.8
MAR07280,12.7
MAR07281,22.5
MAR07285,26.400000000000002
MAR07286,7.8
MAR07287,21.5
MAR07288,-1.0
MAR07289,117.1
MAR07290,-1.0
MAR07291,117.1
MAR07292,-1.0
MAR07293,117.1
MAR07294,-1.0
MAR07295,-1.0
MAR07296,-1.0
MAR07297,-1.0
MAR07298,-1.0
MAR07299,-1.0
MAR07300,-1.0
MAR07301,-1.0
MAR07302,-1.0
MAR07303,-1.0
MAR07304,-1.0
MAR07305,-1.0
MAR07306,-1.0
MAR07308,117.1
MAR07309,117.1
MAR07310,117.1
MAR07311,117.1
MAR07312,117.1
MAR07313,117.1
MAR07314,117.1
MAR07315,117.1
MAR07316,117.1
MAR07317,117.1
MAR07318,117.1
MAR07319,117.1
MAR07320,117.1
MAR07321,117.1
MAR07322,117.1
MAR07323,20.5
MAR07324,42.0
MAR07325,-1.0
MAR07326,-1.0
MAR07327,30.2
MAR07328,3.9
MAR07329,-1.0
MAR07332,2.9
MAR07333,59.6
MAR07334,2.0
MAR07428,26.4
