GeneID,RPKM_zero,RPKM_final
ENSG00000115170,22.8133739,19.50470216
ENSG00000135503,15.4852314,16.9107319
ENSG00000123612,8.437023832,10.82765215
ENSG00000121989,14.13644239,26.25791149
ENSG00000114739,3.623636123,2.175984945
ENSG00000139567,13.18076028,11.65644577
ENSG00000243989,19.78372302,15.13960625
ENSG00000132744,36.67731616,38.99479635
ENSG00000119640,72.5556887,84.83736387
ENSG00000170634,29.99072386,29.94378076
ENSG00000196839,9.621663725,9.885797238
ENSG00000164113,38.50975844,43.71792327
ENSG00000140955,18.41174862,13.17443711
ENSG00000168803,11.25114953,9.871567454
ENSG00000137845,4.606199875,3.41227131
ENSG00000073670,12.43438551,10.28485533
ENSG00000148848,7.422863504,7.084101057
ENSG00000143537,12.09879922,9.246654619
ENSG00000151694,11.05734222,9.88533757
ENSG00000168619,26.76218571,20.23373966
ENSG00000135074,10.06569611,12.03811396
ENSG00000104755,10.92417394,9.545550245
ENSG00000134007,17.2278088,20.9960216
ENSG00000139985,18.05716015,11.53648906
ENSG00000008277,6.342865958,6.589989791
ENSG00000114948,7.303201344,9.979625716
ENSG00000042980,10.69492256,11.23975558
ENSG00000168594,15.94070093,17.37656118
ENSG00000134249,24.3506442,35.29671519
ENSG00000197140,16.33459786,10.62460786
ENSG00000149451,16.36913838,10.85080204
ENSG00000069206,16.90256256,6.370057506
ENSG00000151651,21.79298205,23.32510039
ENSG00000168615,8.163814461,7.667563346
ENSG00000134028,20.21027795,24.00351021
ENSG00000154734,12.29526232,8.375080766
ENSG00000142303,11.66117176,6.973061282
ENSG00000151388,5.966442546,9.535021916
ENSG00000160323,17.19541091,19.09679251
ENSG00000138316,10.05262886,11.14741827
ENSG00000166106,7.586827738,3.908898924
ENSG00000145536,10.66789883,20.23132078
ENSG00000140470,9.300218286,13.23896667
ENSG00000140873,7.330119831,8.031595815
ENSG00000145808,15.13940868,18.48626073
ENSG00000087116,8.037802966,14.43108768
ENSG00000173157,10.12849966,6.216311945
ENSG00000156140,7.008827636,10.33868384
ENSG00000158859,5.805885484,6.252366595
ENSG00000154736,7.798407885,5.858044068
ENSG00000049192,5.436721387,8.190538
ENSG00000136378,4.577557353,4.844946982
ENSG00000134917,18.87707612,19.83428211
ENSG00000163638,7.475709036,9.262196081
ENSG00000178031,9.371599044,10.33814406
ENSG00000197859,14.97322581,10.41613576
ENSG00000156218,7.618965045,5.108050013
ENSG00000143382,15.33256261,15.53845396
ENSG00000185761,18.59343348,21.09481247
ENSG00000105963,27.79332888,28.23572158
ENSG00000184060,16.06475045,12.50024858
ENSG00000160710,11.52688356,18.94004726
ENSG00000197381,10.40874164,5.749261749
ENSG00000185736,5.945657512,7.132072861
ENSG00000065457,11.25506675,11.48787117
ENSG00000189007,7.850516383,5.83153554
ENSG00000213638,30.26726406,18.07674486
ENSG00000063761,13.72434884,6.713041833
ENSG00000133597,27.23413958,36.53423937
ENSG00000173137,41.75257202,50.47492779
ENSG00000164742,3.784000145,3.755500442
ENSG00000143199,11.80362407,13.39146266
ENSG00000078295,6.831771829,9.467298372
ENSG00000138031,10.67155164,9.522117913
ENSG00000129467,6.526107011,4.155091614
ENSG00000173175,9.845481203,8.694374879
ENSG00000174233,8.755629218,4.38604404
ENSG00000121281,7.650768206,4.886579609
ENSG00000155897,18.2800349,29.6149188
ENSG00000162104,9.183962753,13.63669807
ENSG00000141433,13.16697287,6.276166396
ENSG00000078549,8.957919374,11.10313263
