,reaction_expression
MAR06839,-1.0
MAR06840_f,-1.0
MAR06841_f,-1.0
MAR06842_f,-1.0
MAR06843,-1.0
MAR06844,-1.0
MAR06845,-1.0
MAR06848_f,-1.0
MAR06849_f,-1.0
MAR06850,-1.0
MAR06851,-1.0
MAR06854_f,-1.0
MAR06855_f,-1.0
MAR06874,-1.0
MAR06875_f,-1.0
MAR06876_f,-1.0
MAR06877_f,-1.0
MAR06878_f,-1.0
MAR06879_f,-1.0
MAR06880_f,-1.0
MAR06881,-1.0
MAR06882_f,-1.0
MAR06883_f,1358.6000000000001
MAR06885_f,7.3
MAR06886_f,1358.6000000000001
MAR06888,-1.0
MAR06889,-1.0
MAR07628,191.4
MAR07756,-1.0
MAR08539,-1.0
MAR08794,-1.0
MAR08795,-1.0
MAR08796,-1.0
MAR03875,138.1
MAR03877,24.9
MAR03879,-1.0
MAR03881,3.4
MAR03912_f,43.3
MAR03917,-1.0
MAR03919_f,-1.0
MAR03920_f,86.3
MAR03922_f,-1.0
MAR03928,-1.0
MAR03995_f,63.5
MAR03996_f,-1.0
MAR04072,67.5
MAR04189,-1.0
MAR04302,3.4
MAR04323,-1.0
MAR05381,-1.0
MAR05385,-1.0
MAR05386,23.7
MAR05387,21.5
MAR05388,64.4
MAR05389,64.4
MAR05390,-1.0
MAR05391,-1.0
MAR05418_f,-1.0
MAR05419_f,-1.0
MAR06515,-1.0
MAR06518,-1.0
MAR06519_f,-1.0
MAR06520_f,-1.0
MAR06523_f,191.4
MAR08062,-1.0
MAR08066_f,43.3
MAR08067_f,25.1
MAR08068_f,54.0
MAR08069_f,94.6
MAR08641,67.5
MAR08682_f,-1.0
MAR08683,3.4
MAR08684_f,25.1
MAR08685,-1.0
MAR03868,12.9
MAR03869,12.9
MAR03889,-1.0
MAR03933_f,57.2
MAR03937,108.5
MAR04116,1639.1999999999998
MAR04120,1639.1999999999998
