,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7
ENSG00000104907,0.5133451957025246,0.48327305610158056,0.49609882966163826,0.48333333329077455,0.5261718749728959,0.5029358626305608,0.4347755367987411
ENSG00000066651,0.4866548042974753,0.5167269438984194,0.5039011703383618,0.5166666667092255,0.47382812502710414,0.49706413736943916,0.5652244632012589
ENSG00000183665,0.19929839949176997,0.19963369959375918,0.20015831730079364,0.19166666664205603,0.19127569437007208,0.20845456101975698,0.12332584967192774
ENSG00000100416,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000072756,0.11800364897662792,0.12905084255809887,0.1031390134189349,0.123200470090834,0.134445157174243,0.12069214132866833,0.10085743355056966
ENSG00000128311,2.059203810713789,2.0237529691459715,2.1026566934728486,2.132120888034674,1.941548659163114,2.059928086273415,1.6660168944187637
ENSG00000182670,0.008355230550498416,0.008790685338504247,0.009158594490936171,0.009220765584236375,0.008493220281565473,0.008937418253945463,0.013348763663234193
ENSG00000114999,0.6195709052198436,0.6454828661341285,0.6648397975984859,0.6611900532177053,0.6755602988842072,0.6667781865966047,0.8295580110886023
ENSG00000178952,0.07059412883546605,0.06783692498471938,0.06551911824381584,0.07484400195955404,0.06606810097271767,0.06904913536548159,0.08111814870752224
ENSG00000104723,0.5072093023879076,0.4695652173650977,0.5129493622322495,0.5,0.4313171283289375,0.462359704340663,0.4953789278421604
ENSG00000149016,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ENSG00000136810,7.0,7.0,7.0,7.0,7.0,7.0,7.0
ENSG00000100348,7.0,7.0,7.0,7.0,7.0,7.0,7.0
ENSG00000198431,3.2324038286347596,3.2869180220342873,3.357688837287376,3.2662538346755174,3.2666824027382537,3.291270708938986,2.857648042957341
ENSG00000184470,2.133213644490918,2.0138504152340575,2.1037735849180565,2.116012084468635,2.090236686565343,2.1010101011349325,1.8313856425911812
ENSG00000197763,1.6343825268743224,1.6992315627316552,1.5385375777945667,1.6177340808558474,1.6430809106964035,1.6077191899260819,2.310966314451478
ENSG00000025708,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000176890,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000077498,11.522842639599883,11.483089348765754,11.477611940282792,11.499162479001098,11.549791570121329,11.487364620873853,11.366436967928758
ENSG00000107165,1.4771573604001174,1.5169106512342463,1.5223880597172073,1.500837520998901,1.4502084298786722,1.5126353791261469,1.6335630320712418
ENSG00000117143,0.6095182652241651,0.5728987992766018,0.5934959350175831,0.6059498955843982,0.6374341493651047,0.6048754823187042,0.6314049587206501
ENSG00000197355,0.390481734775835,0.42710120072339813,0.4065040649824168,0.3940501044156018,0.3625658506348954,0.3951245176812957,0.36859504127935
ENSG00000130985,0.00621382283371155,0.006430624495520383,0.006685660017663086,0.006269031684776703,0.006834837541698963,0.006434827904880167,0.006685839998292345
ENSG00000126261,0.005842115599055933,0.005829783317955557,0.005325735993937243,0.005359010956527176,0.006302813020170904,0.005560053676145384,0.0034259917038358617
ENSG00000144744,0.007272837786668326,0.006890728101223891,0.0076163342840593114,0.008267966103570345,0.00869931987171492,0.007462475300982856,0.0064394894235338136
ENSG00000033178,0.006113298236405417,0.005569960105726579,0.006241215573483027,0.005658462220562836,0.006542463705467202,0.005933743638891234,0.005809290280651694
ENSG00000182179,0.006267591804935071,0.006170801283291408,0.005796771129302967,0.006537371129658513,0.0061350575387607315,0.006086616804810715,0.0045632147035684105
ENSG00000134882,0.45652568517137787,0.4087530965793464,0.4463339838343595,0.44813153954742746,0.48193979930577086,0.45604166673699387,0.47386134169839766
ENSG00000077721,0.007111530872997761,0.007675610719354875,0.00714150047482046,0.006976825582766411,0.005665342196771922,0.006777377035948784,0.012483672114963958
ENSG00000119048,0.004691927173720478,0.005337201810723426,0.004877492877324403,0.005125672307113497,0.004294540276706823,0.004600349910949594,0.004674931824272429
ENSG00000175063,0.006347076371154423,0.0060300637114300846,0.005660018992299791,0.00583735518429736,0.005056629456346359,0.006137574527266682,0.007659784126608477
ENSG00000072401,0.0038947437317404044,0.004330386864765505,0.004535612535536636,0.004297320105942763,0.0037673087701901435,0.0043427303134451235,0.0018476293052986509
ENSG00000131508,0.004280477655232529,0.005391331648033841,0.005249762582730613,0.005374566864664162,0.004390400552811902,0.005217504542179915,0.003890047437338595
ENSG00000109332,0.006594881193294621,0.006674208757699738,0.006245014244475471,0.0063701450977467,0.0062452968556430365,0.006480123656886874,0.004230927880766908
ENSG00000078967,0.005706524281826519,0.004931228042330333,0.005823361823369326,0.006976825582766411,0.005550309867716184,0.005862969022759699,0.003302816417804177
ENSG00000170142,0.007144259813134501,0.00730211485106103,0.00684900284873262,0.006537371129658512,0.005981681100965726,0.006630165840478567,0.00733322638916596
ENSG00000182247,0.0067912548268884735,0.007069356560346005,0.006518518518481815,0.007066272063913698,0.005952923019411274,0.0070633064784574396,0.007983477324740442
ENSG00000170035,0.006529423315911773,0.00693403196849935,0.007122507122738977,0.007338500487989666,0.006374708226894968,0.007476630221312318,0.004073378096057062
ENSG00000184182,0.006964250648163694,0.007177616230678705,0.007384615385208366,0.006016248146591941,0.007850956445993054,0.006921757249091214,0.008771226253679983
ENSG00000132388,0.006022124764026745,0.007280462919567362,0.007076923076591133,0.007190719344848936,0.006547256719059609,0.007003855801776002,0.006196003392128563
