,sample_1,sample_2,sample_3,sample_4
MAR07874,70.0,175.2,235.9,267.0
MAR07875,-1.0,-1.0,-1.0,-1.0
MAR07876,70.0,175.2,235.9,267.0
MAR07878,264.5,436.40000000000003,409.5,531.5
MAR07879,44.7,49.2,35.9,97.8
MAR07880,54.5,61.5,43.7,134.1
MAR07881,73.89999999999999,181.29999999999998,181.6,262.8
MAR07882,73.89999999999999,181.29999999999998,181.6,262.8
MAR07883,272.3,439.5,410.9,537.4
MAR07884,73.89999999999999,181.29999999999998,181.6,262.8
MAR07885,73.89999999999999,181.29999999999998,181.6,262.8
MAR07886,272.3,439.5,410.9,537.4
MAR07887,73.89999999999999,181.29999999999998,181.6,262.8
MAR07888,73.89999999999999,181.29999999999998,181.6,262.8
MAR07889,73.89999999999999,181.29999999999998,181.6,262.8
MAR07890,272.3,439.5,410.9,537.4
MAR07891,73.89999999999999,181.29999999999998,181.6,262.8
MAR07892,73.89999999999999,181.29999999999998,181.6,262.8
MAR07893,73.89999999999999,181.29999999999998,181.6,262.8
MAR07894,272.3,439.5,410.9,537.4
MAR07895,272.3,439.5,410.9,537.4
MAR08083,50.599999999999994,30.800000000000004,5.1,54.7
MAR08085,50.599999999999994,30.800000000000004,5.1,54.7
MAR08087,50.599999999999994,30.800000000000004,5.1,54.7
MAR08443,58.3,116.8,218.3,173.2
MAR08444,58.3,116.8,218.3,173.2
MAR08445,36.9,42.9,38.4,48.7
MAR08446,-1.0,-1.0,-1.0,-1.0
MAR08448,70.0,175.2,235.9,267.0
MAR08449,70.0,175.2,235.9,267.0
MAR08450,70.0,175.2,235.9,267.0
MAR08451,70.0,175.2,235.9,267.0
MAR08452,70.0,175.2,235.9,267.0
MAR08453,70.0,175.2,235.9,267.0
MAR08454,70.0,175.2,235.9,267.0
MAR08455,70.0,175.2,235.9,267.0
MAR08456,70.0,175.2,235.9,267.0
MAR08457,70.0,175.2,235.9,267.0
MAR08458,70.0,175.2,235.9,267.0
MAR08459,70.0,175.2,235.9,267.0
MAR08460,70.0,175.2,235.9,267.0
MAR08461,-1.0,-1.0,-1.0,-1.0
MAR08462,70.0,175.2,235.9,267.0
MAR08463,70.0,175.2,235.9,267.0
MAR08464,70.0,175.2,235.9,267.0
MAR08465,70.0,175.2,235.9,267.0
MAR08466,70.0,175.2,235.9,267.0
MAR08467,70.0,175.2,235.9,267.0
MAR08468,70.0,175.2,235.9,267.0
MAR08469,70.0,175.2,235.9,267.0
MAR08470,70.0,175.2,235.9,267.0
MAR08471,70.0,175.2,235.9,267.0
MAR08472,70.0,175.2,235.9,267.0
MAR08473,-1.0,-1.0,-1.0,-1.0
MAR08474,29.1,15.399999999999999,128.1,49.0
MAR08477,9.7,15.4,7.3,11.6
MAR08478,9.7,15.4,7.3,11.6
MAR08479,9.7,15.4,7.3,11.6
