,sample_1,sample_2,sample_3,sample_4,sample_5
"('MAR08568', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{},{}
"('MAR08569', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{},{}
"('MAR08570', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{},{}
"('MAR08571', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{},{}
"('MAR08572', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{},{}
"('MAR08573', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{},{}
"('MAR08574', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{},{}
"('MAR08575', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{},{}
"('MAR08576', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{},{}
"('MAR08577', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{},{}
"('MAR08578', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{},{}
"('MAR08579', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{},{}
"('MAR08581', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{},{}
"('MAR08591', 'ENSG00000214013 or ENSG00000257335')","{'ENSG00000214013': ('ENSG00000214013', 1, 9.4)}","{'ENSG00000214013': ('ENSG00000214013', 1, 9.2)}","{'ENSG00000214013': ('ENSG00000214013', 1, 5.8)}","{'ENSG00000214013': ('ENSG00000214013', 1, 11.1)}","{'ENSG00000214013': ('ENSG00000214013', 1, 6.6)}"
"('MAR08592', 'ENSG00000171298')","{'ENSG00000171298': ('ENSG00000171298', 1, 17.7)}","{'ENSG00000171298': ('ENSG00000171298', 1, 3.1)}","{'ENSG00000171298': ('ENSG00000171298', 1, 17.4)}","{'ENSG00000171298': ('ENSG00000171298', 1, 18.7)}","{'ENSG00000171298': ('ENSG00000171298', 1, 17.3)}"
"('MAR08580', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{},{}
"('MAR08582', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{},{}
"('MAR08587', 'ENSG00000214013 or ENSG00000257335')","{'ENSG00000214013': ('ENSG00000214013', 1, 9.4)}","{'ENSG00000214013': ('ENSG00000214013', 1, 9.2)}","{'ENSG00000214013': ('ENSG00000214013', 1, 5.8)}","{'ENSG00000214013': ('ENSG00000214013', 1, 11.1)}","{'ENSG00000214013': ('ENSG00000214013', 1, 6.6)}"
"('MAR08589', 'ENSG00000171298')","{'ENSG00000171298': ('ENSG00000171298', 1, 17.7)}","{'ENSG00000171298': ('ENSG00000171298', 1, 3.1)}","{'ENSG00000171298': ('ENSG00000171298', 1, 17.4)}","{'ENSG00000171298': ('ENSG00000171298', 1, 18.7)}","{'ENSG00000171298': ('ENSG00000171298', 1, 17.3)}"
"('MAR08583', 'ENSG00000257335')",{},{},{},{},{}
"('MAR08584', 'ENSG00000090402')",{},{},{},{},{}
"('MAR08585', 'ENSG00000165434')","{'ENSG00000165434': ('ENSG00000165434', 1, 5.9)}","{'ENSG00000165434': ('ENSG00000165434', 1, 9.2)}","{'ENSG00000165434': ('ENSG00000165434', 1, 27.2)}","{'ENSG00000165434': ('ENSG00000165434', 1, 0.9)}","{'ENSG00000165434': ('ENSG00000165434', 1, 6.0)}"
"('MAR03944', 'ENSG00000169764')","{'ENSG00000169764': ('ENSG00000169764', 1, 378.4)}","{'ENSG00000169764': ('ENSG00000169764', 1, 196.7)}","{'ENSG00000169764': ('ENSG00000169764', 1, 82.1)}","{'ENSG00000169764': ('ENSG00000169764', 1, 597.8)}","{'ENSG00000169764': ('ENSG00000169764', 1, 277.0)}"
"('MAR04128', 'ENSG00000117308')","{'ENSG00000117308': ('ENSG00000117308', 1, 3.4)}","{'ENSG00000117308': ('ENSG00000117308', 1, 27.7)}","{'ENSG00000117308': ('ENSG00000117308', 1, 13.7)}","{'ENSG00000117308': ('ENSG00000117308', 1, 40.8)}","{'ENSG00000117308': ('ENSG00000117308', 1, 67.5)}"
"('MAR04130', 'ENSG00000108479 or ENSG00000156958')","{'ENSG00000156958': ('ENSG00000156958', 1, 3.4)}","{'ENSG00000156958': ('ENSG00000156958', 1, 24.6)}","{'ENSG00000156958': ('ENSG00000156958', 1, 14.2)}","{'ENSG00000156958': ('ENSG00000156958', 1, 21.0)}","{'ENSG00000156958': ('ENSG00000156958', 1, 45.0)}"
