,reaction_expression
MAR05386,-1.0
MAR05387,52.04
MAR05388,179.0
MAR05389,179.0
MAR05390,-1.0
MAR05391,-1.0
MAR05418,-1.0
MAR05419,-1.0
MAR06515,1202.0
MAR06518,1202.0
MAR06519,-1.0
MAR06520,1202.0
MAR06523,-1.0
MAR08062,26.06
MAR08066,119.3
MAR08067,-1.0
MAR08068,63.06
MAR08069,298.7
MAR08641,2.8618
MAR08682,-1.0
MAR08683,-1.0
MAR08684,-1.0
MAR08685,-1.0
MAR03868,232.2
MAR03869,232.2
MAR03889,-1.0
MAR03933,1.015
MAR03937,-1.0
MAR04116,5183.33
MAR04120,5183.33
MAR04121,5183.33
MAR04175,43.14
MAR04176,43.14
MAR04324,77.98
MAR04326,-1.0
MAR04328,277.1
MAR04329,277.1
MAR04708,-1.0
MAR08769,43.14
MAR08770,-1.0
MAR08771,-1.0
MAR04078,-1.0
MAR04079,771.455
MAR04174,-1.0
MAR04330,-1.0
MAR04347,-1.0
MAR04425,-1.0
MAR04427,0.1939
MAR04688,771.455
MAR04689,262.4
MAR04735,111.9
MAR07991,-1.0
MAR07992,-1.0
MAR07993,771.455
MAR07128,35.82
MAR07129,35.82
MAR07130,-1.0
MAR07131,63.92
MAR07132,-1.0
MAR07133,-1.0
MAR07134,-1.0
MAR07135,-1.0
MAR07136,45.78
MAR07137,-1.0
MAR07138,853.43
MAR07139,245.6
MAR07140,-1.0
MAR07141,-1.0
MAR07620,-1.0
MAR07647,-1.0
MAR08640,2.8618
MAR08689,-1.0
MAR08690,-1.0
MAR03748,-1.0
MAR03753,111.9
MAR03755,-1.0
MAR03759,771.455
MAR03763,-1.0
MAR03773,-1.0
MAR03775,-1.0
MAR03780,-1.0
MAR03785,111.9
MAR03790,-1.0
MAR03792,16.4
MAR03796,-1.0
MAR03823,100.45
MAR06416,-1.0
MAR03986,-1.0
MAR03988,589.9518999999999
MAR04124,-1.0
MAR04158,-1.0
MAR04159,27.05
MAR04299,48.14
MAR04300,0.651
MAR04494,21.747999999999998
MAR04524,-1.0
MAR04525,-1.0
MAR04526,-1.0
MAR04527,-1.0
MAR04528,-1.0
MAR04529,-1.0
MAR04530,-1.0
MAR04531,-1.0
MAR04532,-1.0
MAR04533,-1.0
MAR04534,-1.0
MAR04536,-1.0
MAR04628,-1.0
MAR04629,20.53
MAR04631,43.7
MAR07696,-1.0
MAR07697,-1.0
MAR07698,27.05
MAR08366,-1.0
MAR08367,-1.0
MAR08368,-1.0
MAR08371,-1.0
MAR08372,-1.0
MAR08373,-1.0
MAR08375,-1.0
MAR08376,-1.0
MAR08377,-1.0
MAR08672,-1.0
MAR08674,-1.0
MAR08675,-1.0
MAR05130,-1.0
MAR05131,48.45
MAR05132,-1.0
MAR05133,-1.0
MAR05134,-1.0
MAR05135,-1.0
MAR05136,52.87
MAR05137,2.677
MAR05138,-1.0
MAR05139,-1.0
MAR05140,3.426
MAR05141,-1.0
MAR05142,-1.0
MAR05143,-1.0
MAR05144,-1.0
MAR05145,-1.0
MAR05146,2.677
MAR05147,-1.0
MAR05148,-1.0
MAR05149,44.69
MAR05150,-1.0
MAR07171,4.655
MAR07172,-1.0
MAR07174,-1.0
MAR07175,1.48
MAR07180,1.48
MAR07181,1.465
MAR07183,-1.0
MAR07197,-1.0
MAR07436,3.854
MAR07438,-1.0
MAR07440,1.48
MAR08254,-1.0
MAR08255,-1.0
MAR08256,-1.0
MAR08257,-1.0
MAR08258,-1.0
MAR08260,-1.0
MAR08261,-1.0
MAR01532,-1.0
MAR07254,7.107
MAR07256,-1.0
MAR07258,-1.0
MAR07259,-1.0
MAR07260,-1.0
MAR07261,-1.0
MAR07263,-1.0
MAR07264,-1.0
MAR07265,-1.0
MAR07266,-1.0
MAR07267,-1.0
MAR07268,-1.0
MAR07269,-1.0
MAR07270,-1.0
MAR07271,2.486
MAR07274,-1.0
MAR07275,2.486
MAR07276,-1.0
MAR07277,-1.0
MAR07278,-1.0
MAR07279,-1.0
MAR07280,1.065
MAR07281,1.065
MAR07285,767.4
MAR07286,-1.0
MAR07287,-1.0
MAR07288,-1.0
MAR07289,-1.0
MAR07290,-1.0
MAR07291,-1.0
MAR07292,-1.0
MAR07293,-1.0
MAR07294,-1.0
MAR07295,-1.0
MAR07296,-1.0
MAR07297,-1.0
MAR07298,-1.0
MAR07299,-1.0
MAR07300,-1.0
MAR07301,-1.0
MAR07302,-1.0
MAR07303,-1.0
MAR07304,-1.0
MAR07305,-1.0
MAR07306,-1.0
MAR07308,-1.0
MAR07309,-1.0
MAR07310,-1.0
MAR07311,-1.0
MAR07312,-1.0
MAR07313,-1.0
MAR07314,-1.0
MAR07315,-1.0
MAR07316,-1.0
MAR07317,-1.0
MAR07318,-1.0
MAR07319,-1.0
MAR07320,-1.0
MAR07321,-1.0
MAR07322,-1.0
MAR07323,-1.0
MAR07324,-1.0
MAR07325,-1.0
MAR07326,-1.0
MAR07327,-1.0
MAR07328,-1.0
MAR07329,-1.0
MAR07332,-1.0
MAR07333,3.4690000000000003
MAR07334,-1.0
MAR07428,81.71
MAR07429,-1.0
MAR07574,-1.0
MAR07575,-1.0
MAR07576,0.4012
MAR07577,0.4012
MAR07578,589.9518999999999
MAR07580,-1.0
MAR07582,-1.0
MAR07585,-1.0
MAR07586,-1.0
MAR07587,589.9518999999999
MAR08691,-1.0
MAR08692,-1.0
