,reaction_expression
MAR04631,43.26
MAR07696,-1.0
MAR07697,-1.0
MAR07698_f,16.72
MAR08366,-1.0
MAR08367,-1.0
MAR08368,-1.0
MAR08371,-1.0
MAR08372,-1.0
MAR08373_f,-1.0
MAR08375,-1.0
MAR08376,-1.0
MAR08377,-1.0
MAR08672,-1.0
MAR08674,-1.0
MAR08675,-1.0
MAR05130,-1.0
MAR05131,50.95
MAR05132,-1.0
MAR05133,-1.0
MAR05134,-1.0
MAR05135,-1.0
MAR05136,32.14
MAR05137,1.446
MAR05138,-1.0
MAR05139,-1.0
MAR05140,1.037
MAR05141,-1.0
MAR05142,-1.0
MAR05143,-1.0
MAR05144,-1.0
MAR05145,-1.0
MAR05146,1.446
MAR05147,-1.0
MAR05148,-1.0
MAR05149,43.14
MAR05150,-1.0
MAR07171,4.569
MAR07172,-1.0
MAR07174,-1.0
MAR07175,0.5504
MAR07180,0.5504
MAR07181,6.441
MAR07183,-1.0
MAR07197,-1.0
MAR07436,3.328
MAR07438,-1.0
MAR07440,0.5504
MAR08254,-1.0
MAR08255,-1.0
MAR08256,-1.0
MAR08257,-1.0
MAR08258,-1.0
MAR08260,-1.0
MAR08261,-1.0
MAR01532,-1.0
MAR07254,14.25
MAR07256,-1.0
MAR07258,-1.0
MAR07259,-1.0
MAR07260,-1.0
MAR07261,-1.0
MAR07263,-1.0
MAR07264,-1.0
MAR07265,-1.0
MAR07266,-1.0
MAR07267,-1.0
MAR07268,-1.0
MAR07269,-1.0
MAR07270,-1.0
MAR07271,1.756
MAR07274,-1.0
MAR07275,1.756
MAR07276,-1.0
MAR07277,-1.0
MAR07278,-1.0
MAR07279,-1.0
MAR07280,1.504
MAR07281,1.504
MAR07285,693.8
MAR07286,-1.0
MAR07287,-1.0
MAR07288,-1.0
MAR07289,-1.0
MAR07290,-1.0
MAR07291,-1.0
MAR07292,-1.0
MAR07293,-1.0
MAR07294,-1.0
MAR07295,-1.0
MAR07296,-1.0
MAR07297,-1.0
MAR07298,-1.0
MAR07299,-1.0
MAR07300,-1.0
MAR07301,-1.0
MAR07302,-1.0
MAR07303,-1.0
MAR07304,-1.0
MAR07305,-1.0
MAR07306,-1.0
MAR07308,-1.0
MAR07309,-1.0
MAR07310,-1.0
MAR07311,-1.0
MAR07312,-1.0
MAR07313,-1.0
MAR07314,-1.0
MAR07315,-1.0
MAR07316,-1.0
MAR07317,-1.0
MAR07318,-1.0
MAR07319,-1.0
MAR07320,-1.0
MAR07321,-1.0
MAR07322,-1.0
MAR07323,-1.0
MAR07324,-1.0
MAR07325,-1.0
MAR07326,-1.0
MAR07327,-1.0
MAR07328,-1.0
MAR07329,-1.0
MAR07332,-1.0
MAR07333,6.8767
MAR07334,-1.0
MAR07428,70.69
MAR07429,-1.0
MAR07574,-1.0
MAR07575,-1.0
MAR07576,2.646
MAR07577,2.646
MAR07578,615.4073
MAR07580,-1.0
MAR07582,-1.0
MAR07585,-1.0
MAR07586,-1.0
MAR07587,615.4073
MAR08691,-1.0
MAR08692,-1.0
MAR08693,-1.0
MAR08694,-1.0
MAR08695,-1.0
MAR05151,19840.0
MAR05152,84.77
MAR05153,-1.0
MAR05154,-1.0
MAR05155,-1.0
MAR05156,-1.0
MAR05157,22070.0
