,sample_1,sample_2,sample_3,sample_4,sample_5
MAR04171,298.0,528.6,180.0,3.8,206.4
MAR04290,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04406,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04412,205.3,95.3,124.5,108.39999999999999,97.0
MAR04417,61.0,209.0,113.0,107.69999999999999,304.2
MAR04418,25.5,181.3,31.1,21.8,28.4
MAR04419,13.9,61.5,27.1,29.5,109.8
MAR04421,298.0,528.6,180.0,3.8,206.4
MAR04449,61.0,209.0,113.0,107.69999999999999,304.2
MAR04450,61.0,209.0,113.0,107.69999999999999,304.2
MAR04451,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04452,25.5,181.3,31.1,21.8,28.4
MAR04453,19.4,15.4,27.0,10.6,18.9
MAR04480,1878.4999999999998,965.1,314.6,1389.2,2108.3
MAR04481,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04482,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04486,137.2,18.4,34.2,0.6,1.1
MAR04487,137.2,18.4,34.2,0.6,1.1
MAR04488,137.2,18.4,34.2,0.6,1.1
MAR04489,137.2,18.4,34.2,0.6,1.1
MAR04492,137.2,18.4,34.2,0.6,1.1
MAR04493,137.2,18.4,34.2,0.6,1.1
MAR04495,137.2,18.4,34.2,0.6,1.1
MAR04496,137.2,18.4,34.2,0.6,1.1
MAR04518,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04519,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04520,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04573,298.0,528.6,180.0,3.8,206.4
MAR04574,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04600,35.3,79.9,65.0,82.3,108.9
MAR04602,61.0,209.0,113.0,107.69999999999999,304.2
MAR04603,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04611,64.4,6.2,27.0,33.6,15.6
MAR04612,64.4,6.2,27.0,33.6,15.6
MAR04614,64.4,6.2,27.0,33.6,15.6
MAR04615,64.4,6.2,27.0,33.6,15.6
MAR04617,64.4,6.2,27.0,33.6,15.6
MAR04618,64.4,6.2,27.0,33.6,15.6
MAR04619,64.4,6.2,27.0,33.6,15.6
MAR04621,64.4,6.2,27.0,33.6,15.6
MAR04632,61.0,209.0,113.0,107.69999999999999,304.2
MAR04646,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04648,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04649,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04650,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04651,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04663,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04664,25.5,181.3,31.1,21.8,28.4
MAR04694,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04695,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04705,61.0,209.0,113.0,107.69999999999999,304.2
MAR04709,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04799,20.3,15.4,19.9,17.8,12.7
MAR04802,20.3,15.4,19.9,17.8,12.7
MAR04804,26.8,24.6,25.7,81.2,41.6
MAR04808,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04810,26.8,24.6,25.7,81.2,41.6
MAR04812,205.3,95.3,124.5,108.39999999999999,97.0
MAR04814,32.4,24.6,6.4,25.1,47.4
MAR05301,36.3,42.9,53.8,38.4,48.7
MAR05353,165.7,531.7,473.4,379.5,784.4
MAR06601,-1.0,-1.0,-1.0,-1.0,-1.0
MAR06602,568.1,713.0,191.4,1371.6,724.4
MAR06603,568.1,713.0,191.4,1371.6,724.4
MAR06605,-1.0,-1.0,-1.0,-1.0,-1.0
MAR06606,-1.0,-1.0,-1.0,-1.0,-1.0
MAR06607,-1.0,-1.0,-1.0,-1.0,-1.0
MAR06609,-1.0,-1.0,-1.0,-1.0,-1.0
