,sample_1,sample_2
"('MAR08577', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')","{'ENSG00000240038': ('ENSG00000240038', 0.9655797101449276, 53.3), 'ENSG00000243480': ('ENSG00000243480', 0.034420289855072464, 1.9)}","{'ENSG00000240038': ('ENSG00000240038', 1, nan), 'ENSG00000243480': ('ENSG00000243480', 1, nan)}"
"('MAR08578', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')","{'ENSG00000240038': ('ENSG00000240038', 0.9655797101449276, 53.3), 'ENSG00000243480': ('ENSG00000243480', 0.034420289855072464, 1.9)}","{'ENSG00000240038': ('ENSG00000240038', 1, nan), 'ENSG00000243480': ('ENSG00000243480', 1, nan)}"
"('MAR08579', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')","{'ENSG00000240038': ('ENSG00000240038', 0.9655797101449276, 53.3), 'ENSG00000243480': ('ENSG00000243480', 0.034420289855072464, 1.9)}","{'ENSG00000240038': ('ENSG00000240038', 1, nan), 'ENSG00000243480': ('ENSG00000243480', 1, nan)}"
"('MAR08581', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')","{'ENSG00000240038': ('ENSG00000240038', 0.9655797101449276, 53.3), 'ENSG00000243480': ('ENSG00000243480', 0.034420289855072464, 1.9)}","{'ENSG00000240038': ('ENSG00000240038', 1, nan), 'ENSG00000243480': ('ENSG00000243480', 1, nan)}"
"('MAR08591', 'ENSG00000214013 or ENSG00000257335')","{'ENSG00000214013': ('ENSG00000214013', 0.9159891598915989, 33.8), 'ENSG00000257335': ('ENSG00000257335', 0.08401084010840108, 3.1)}","{'ENSG00000214013': ('ENSG00000214013', 1, nan), 'ENSG00000257335': ('ENSG00000257335', 1, nan)}"
"('MAR08592', 'ENSG00000171298')","{'ENSG00000171298': ('ENSG00000171298', 1, 30.0)}","{'ENSG00000171298': ('ENSG00000171298', 1, nan)}"
"('MAR08580', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')","{'ENSG00000240038': ('ENSG00000240038', 0.9655797101449276, 53.3), 'ENSG00000243480': ('ENSG00000243480', 0.034420289855072464, 1.9)}","{'ENSG00000240038': ('ENSG00000240038', 1, nan), 'ENSG00000243480': ('ENSG00000243480', 1, nan)}"
"('MAR08582', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')","{'ENSG00000240038': ('ENSG00000240038', 0.9655797101449276, 53.3), 'ENSG00000243480': ('ENSG00000243480', 0.034420289855072464, 1.9)}","{'ENSG00000240038': ('ENSG00000240038', 1, nan), 'ENSG00000243480': ('ENSG00000243480', 1, nan)}"
"('MAR08587', 'ENSG00000214013 or ENSG00000257335')","{'ENSG00000214013': ('ENSG00000214013', 0.9159891598915989, 33.8), 'ENSG00000257335': ('ENSG00000257335', 0.08401084010840108, 3.1)}","{'ENSG00000214013': ('ENSG00000214013', 1, nan), 'ENSG00000257335': ('ENSG00000257335', 1, nan)}"
"('MAR08589', 'ENSG00000171298')","{'ENSG00000171298': ('ENSG00000171298', 1, 30.0)}","{'ENSG00000171298': ('ENSG00000171298', 1, nan)}"
"('MAR08583', 'ENSG00000257335')","{'ENSG00000257335': ('ENSG00000257335', 1, 3.1)}","{'ENSG00000257335': ('ENSG00000257335', 1, nan)}"
"('MAR08584', 'ENSG00000090402')","{'ENSG00000090402': ('ENSG00000090402', 1, 0.3)}","{'ENSG00000090402': ('ENSG00000090402', 1, 74.4)}"
"('MAR08585', 'ENSG00000165434')","{'ENSG00000165434': ('ENSG00000165434', 1, 8.1)}","{'ENSG00000165434': ('ENSG00000165434', 1, nan)}"
"('MAR03944', 'ENSG00000169764')","{'ENSG00000169764': ('ENSG00000169764', 1, 101.9)}","{'ENSG00000169764': ('ENSG00000169764', 1, nan)}"
"('MAR04128', 'ENSG00000117308')","{'ENSG00000117308': ('ENSG00000117308', 1, 6.5)}","{'ENSG00000117308': ('ENSG00000117308', 1, 0.6)}"
"('MAR04130', 'ENSG00000108479 or ENSG00000156958')","{'ENSG00000108479': ('ENSG00000108479', 0.06300813008130081, 3.1), 'ENSG00000156958': ('ENSG00000156958', 0.9369918699186992, 46.1)}","{'ENSG00000108479': ('ENSG00000108479', 0.8762968874700718, 109.8), 'ENSG00000156958': ('ENSG00000156958', 0.12370311252992817, 15.5)}"
"('MAR04131', 'ENSG00000213930')","{'ENSG00000213930': ('ENSG00000213930', 1, 10.2)}","{'ENSG00000213930': ('ENSG00000213930', 1, nan)}"
"('MAR04132', 'ENSG00000213930')","{'ENSG00000213930': ('ENSG00000213930', 1, 10.2)}","{'ENSG00000213930': ('ENSG00000213930', 1, nan)}"
