,sample_1,sample_2,sample_3
MAR04614,64.4,33.6,48.8
MAR04615,64.4,33.6,48.8
MAR04617,64.4,33.6,48.8
MAR04618,64.4,33.6,48.8
MAR04619,64.4,33.6,48.8
MAR04621,64.4,33.6,48.8
MAR04632,78.3,143.50000000000003,144.50000000000003
MAR04646,-1.0,-1.0,-1.0
MAR04648,-1.0,-1.0,-1.0
MAR04649,-1.0,-1.0,-1.0
MAR04650,-1.0,-1.0,-1.0
MAR04651_f,4.8,32.0,15.6
MAR04663_f,4.8,32.0,15.6
MAR04664,25.5,21.8,17.6
MAR04694,17.6,6.300000000000001,7.8
MAR04695_f,4.8,32.0,15.6
MAR04705,78.3,143.50000000000003,144.50000000000003
MAR04709_f,4.8,32.0,15.6
MAR04799,20.3,17.8,15.6
MAR04802,20.3,17.8,15.6
MAR04804_f,26.8,81.2,9.8
MAR04808,2.6,3.3,3.9
MAR04810,26.8,81.2,9.8
MAR04812_f,205.3,108.39999999999999,238.1
MAR04814_f,32.4,25.1,7.8
MAR05301,36.3,38.4,70.3
MAR05353_f,165.7,379.5,97.6
MAR06601,-1.0,-1.0,-1.0
MAR06602_f,572.2,1373.1999999999998,415.7
MAR06603_f,572.2,1373.1999999999998,415.7
MAR06605_f,-1.0,-1.0,-1.0
MAR06606_f,-1.0,-1.0,-1.0
MAR06607_f,-1.0,-1.0,-1.0
MAR06609_f,-1.0,-1.0,-1.0
MAR06610,-1.0,-1.0,-1.0
MAR06611_f,-1.0,-1.0,-1.0
MAR07144,58.3,218.3,30.2
MAR08755,-1.0,-1.0,-1.0
MAR09797,-1.0,-1.0,-1.0
MAR04016_f,144.2,409.5,95.6
MAR04018_f,144.2,409.5,95.6
MAR04044_f,144.2,409.5,95.6
MAR04291_f,144.2,409.5,95.6
MAR04420,144.2,409.5,95.6
MAR04570_f,144.2,409.5,95.6
MAR04572,144.2,409.5,95.6
MAR04006_f,144.2,409.5,95.6
MAR04028_f,144.2,409.5,95.6
MAR04030_f,144.2,409.5,95.6
MAR04670_f,144.2,409.5,95.6
MAR04673_f,144.2,409.5,95.6
MAR04675,144.2,409.5,95.6
MAR06614_f,144.2,409.5,95.6
MAR06615_f,144.2,409.5,95.6
MAR06616_f,144.2,409.5,95.6
MAR04635_f,144.2,409.5,95.6
MAR03793_f,-1.0,-1.0,-1.0
MAR03931,92.1,76.0,40.0
MAR03969,20.0,26.4,41.0
MAR03970,67.1,140.20000000000002,139.60000000000002
MAR04008_f,73.9,235.9,49.8
MAR04032,9.3,52.6,14.6
MAR04034,6.9,4.3,4.9
MAR04036,6.3,35.7,4.9
MAR04050_f,6.9,4.3,4.9
MAR04056,78.3,143.50000000000003,144.50000000000003
MAR04059,49.6,148.8,40.0
MAR04060,49.6,148.8,40.0
MAR04127,17.7,122.4,65.4
MAR04177,78.3,143.50000000000003,144.50000000000003
MAR04179,78.3,143.50000000000003,144.50000000000003
MAR04182,107.89999999999999,201.9,251.8
MAR04183,6.1,0.7,2.0
MAR04192,6.1,0.7,2.0
MAR04194,9.3,52.6,14.6
MAR04210,298.0,3.8,485.0
MAR04211,14.7,35.9,17.6
MAR04343,7.0,5.8,4.9
MAR04345_f,4.1,49.9,5.9
MAR04346,94.3,22.8,14.6
MAR04470,4.1,49.9,5.9
MAR04471,4.1,49.9,5.9
MAR04472,4.1,49.9,5.9
MAR04484,78.3,143.50000000000003,144.50000000000003
MAR04485_f,1.5,80.9,10.7
MAR04510,78.3,143.50000000000003,144.50000000000003
MAR04512_f,73.9,235.9,49.8
MAR04513,6.6,7.3,8.8
MAR04514,1.2000000000000002,135.29999999999998,2.0
MAR04577,6.3,35.7,4.9
MAR04579_f,10.7,22.6,15.6
MAR04580,1.2000000000000002,135.29999999999998,2.0
MAR04608_f,6.9,4.3,4.9
MAR04575_f,10.9,132.4,5.9
MAR04637_f,8.8,21.7,4.9
MAR04642,26.2,44.6,44.9
MAR04643,200.6,119.30000000000001,88.80000000000001
MAR04644_f,-1.0,-1.0,-1.0
MAR04672,-1.0,-1.0,-1.0
MAR04676,36.3,38.4,70.3
MAR04736,-1.0,-1.0,-1.0
MAR04819,1.5,135.2,2.0
MAR05299,36.3,38.4,70.3
MAR05352,36.3,38.4,70.3
MAR05415,64.4,33.6,48.8
MAR05416,64.4,33.6,48.8
MAR05417,105.1,119.39999999999999,55.6
MAR06612_f,8.8,21.7,4.9
