,sample_1,sample_2
"('MAR07552', 'ENSG00000122863 or ENSG00000147119 or ENSG00000182022')",{},{}
"('MAR07553', 'ENSG00000147119')",{},{}
"('MAR07554', '')",{},{}
"('MAR07501', '')",{},{}
"('MAR07502', 'ENSG00000113273')",{},{}
"('MAR07503', 'ENSG00000049860 or ENSG00000068001 or ENSG00000106302 or ENSG00000106304 or ENSG00000114378 or ENSG00000169660 or ENSG00000186792 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07504', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07505', 'ENSG00000133116 or ENSG00000169919')","{'ENSG00000169919': ('ENSG00000169919', 1, 223.1)}","{'ENSG00000169919': ('ENSG00000169919', 1, 255.8)}"
"('MAR07506', 'ENSG00000113273')",{},{}
"('MAR07507', 'ENSG00000049860 or ENSG00000068001 or ENSG00000106302 or ENSG00000106304 or ENSG00000114378 or ENSG00000169660 or ENSG00000186792 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07508', '')",{},{}
"('MAR07513', '')",{},{}
"('MAR07514', 'ENSG00000113273')",{},{}
"('MAR07515', 'ENSG00000049860 or ENSG00000068001 or ENSG00000106302 or ENSG00000106304 or ENSG00000114378 or ENSG00000169660 or ENSG00000186792 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07516', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07517', 'ENSG00000010404')",{},{}
"('MAR07518', 'ENSG00000127415')",{},{}
"('MAR07525', '')",{},{}
"('MAR07526', 'ENSG00000064601 and ENSG00000141012 and ENSG00000170266 and ENSG00000204386')","{'ENSG00000170266': ('ENSG00000170266', 1, 0.4012)}","{'ENSG00000170266': ('ENSG00000170266', 1, 2.646)}"
