,sample_1,sample_2,sample_3
"('MAR11755', '')",{},{},{}
"('MAR11756', 'ENSG00000168065')",{},{},{}
"('MAR11757', 'ENSG00000085563')","{'ENSG00000085563': ('ENSG00000085563', 1, 3.7)}","{'ENSG00000085563': ('ENSG00000085563', 1, 1.9)}","{'ENSG00000085563': ('ENSG00000085563', 1, 544.8)}"
"('MAR11758', 'ENSG00000085563')","{'ENSG00000085563': ('ENSG00000085563', 1, 3.7)}","{'ENSG00000085563': ('ENSG00000085563', 1, 1.9)}","{'ENSG00000085563': ('ENSG00000085563', 1, 544.8)}"
"('MAR11759', 'ENSG00000085563')","{'ENSG00000085563': ('ENSG00000085563', 1, 3.7)}","{'ENSG00000085563': ('ENSG00000085563', 1, 1.9)}","{'ENSG00000085563': ('ENSG00000085563', 1, 544.8)}"
"('MAR11760', 'ENSG00000085563')","{'ENSG00000085563': ('ENSG00000085563', 1, 3.7)}","{'ENSG00000085563': ('ENSG00000085563', 1, 1.9)}","{'ENSG00000085563': ('ENSG00000085563', 1, 544.8)}"
"('MAR11761', 'ENSG00000085563')","{'ENSG00000085563': ('ENSG00000085563', 1, 3.7)}","{'ENSG00000085563': ('ENSG00000085563', 1, 1.9)}","{'ENSG00000085563': ('ENSG00000085563', 1, 544.8)}"
"('MAR11762', 'ENSG00000085563')","{'ENSG00000085563': ('ENSG00000085563', 1, 3.7)}","{'ENSG00000085563': ('ENSG00000085563', 1, 1.9)}","{'ENSG00000085563': ('ENSG00000085563', 1, 544.8)}"
"('MAR11763', 'ENSG00000085563')","{'ENSG00000085563': ('ENSG00000085563', 1, 3.7)}","{'ENSG00000085563': ('ENSG00000085563', 1, 1.9)}","{'ENSG00000085563': ('ENSG00000085563', 1, 544.8)}"
"('MAR11764', 'ENSG00000085563')","{'ENSG00000085563': ('ENSG00000085563', 1, 3.7)}","{'ENSG00000085563': ('ENSG00000085563', 1, 1.9)}","{'ENSG00000085563': ('ENSG00000085563', 1, 544.8)}"
"('MAR11765', 'ENSG00000085563')","{'ENSG00000085563': ('ENSG00000085563', 1, 3.7)}","{'ENSG00000085563': ('ENSG00000085563', 1, 1.9)}","{'ENSG00000085563': ('ENSG00000085563', 1, 544.8)}"
"('MAR11766', 'ENSG00000085563')","{'ENSG00000085563': ('ENSG00000085563', 1, 3.7)}","{'ENSG00000085563': ('ENSG00000085563', 1, 1.9)}","{'ENSG00000085563': ('ENSG00000085563', 1, 544.8)}"
